date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:39	67/67	---MCZ	200	added ('OK')	text/plain	date:Tue,%2003%20Dec%202019%2003:54:38%20GMT	https://sites.google.com/robots.txt		(from )
19:54:39	77676/77676	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2003:54:37%20GMT	https://sites.google.com/view/shop-design-elite/members	C:/My%20Web%20Sites/web/sites.google.com/view/shop-design-elite/members.html	(from )
19:54:40	813147/813147	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/level-header.png	C:/My%20Web%20Sites/web/ssl.gstatic.com/atari/images/level-header.png	(from https://sites.google.com/view/shop-design-elite/members)
19:54:40	43/43	---M--	200	added ('OK')	image/gif	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	https://ssl.gstatic.com/docs/common/cleardot.gif	C:/My%20Web%20Sites/web/ssl.gstatic.com/docs/common/cleardot.gif	(from https://sites.google.com/view/shop-design-elite/members)
19:54:41	12887/12887	---MC-	200	added ('OK')	application/javascript	date:Tue,%2003%20Dec%202019%2003:54:40%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/web/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/shop-design-elite/members)
19:54:42	62809/62809	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2003:54:40%20GMT	https://sites.google.com/view/shop-design-elite/home	C:/My%20Web%20Sites/web/sites.google.com/view/shop-design-elite/home.html	(from https://sites.google.com/view/shop-design-elite/members)
19:54:42	66017/66017	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2003:54:41%20GMT	https://sites.google.com/view/shop-design-elite/prices	C:/My%20Web%20Sites/web/sites.google.com/view/shop-design-elite/prices.html	(from https://sites.google.com/view/shop-design-elite/members)
19:54:43	50949/50949	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2003:54:41%20GMT	https://sites.google.com/view/shop-design-elite/intro	C:/My%20Web%20Sites/web/sites.google.com/view/shop-design-elite/intro.html	(from https://sites.google.com/view/shop-design-elite/members)
19:54:44	50954/50954	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2003:54:42%20GMT	https://sites.google.com/view/shop-design-elite/outro	C:/My%20Web%20Sites/web/sites.google.com/view/shop-design-elite/outro.html	(from https://sites.google.com/view/shop-design-elite/members)
19:54:45	50942/50942	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2003:54:43%20GMT	https://sites.google.com/view/shop-design-elite/logo	C:/My%20Web%20Sites/web/sites.google.com/view/shop-design-elite/logo.html	(from https://sites.google.com/view/shop-design-elite/members)
19:54:47	50964/50964	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2003:54:44%20GMT	https://sites.google.com/view/shop-design-elite/banner	C:/My%20Web%20Sites/web/sites.google.com/view/shop-design-elite/banner.html	(from https://sites.google.com/view/shop-design-elite/members)
